"ID","Hops","AA","Area","Type"
"1","Admiral","14.9","UK","Bittering"
"2","Ahtanum","6","US","Aroma"
"3","Amarillo","9","US","Aroma"
"4","Apollo","20.5","US","Bittering"
"5","Azacca","12","US","Dual"
"6","Cascade (AU)","7.2","New World","Dual"
"7","AU35","6","New World","Aroma"
"8","Archer","4.5","UK","Aroma"
"9","Boadicea","5.1","UK","Aroma"
"10","Bramling Cross","6","UK","Dual"
"11","Brewers Gold","7","Europe","Bittering"
"12","Bobek","3.95","Europe","Dual"
"13","Cascade","5.8","US","Dual"
"14","Cashmere","8.3","US","Dual"
"15","Styrian Cardinal","10.2","Europe","Aroma"
"16","Celeia","3.5","Europe","Dual"
"17","Centennial","10.5","US","Aroma"
"18","Challernger","7","UK","Dual"
"19","Chinook","13","US","Dual"
"20","Citra","12","US","Dual"
"21","Columbus","15","US","Dual"
"22","Comet","9.5","US","Bittering"
"23","Denali","14.6","US","Aroma"
"24","East Kent Goldings","5.5","UK","Aroma"
"25","El Dorado","16","US","Dual"
"26","Endeavor","9.25","UK","Dual"
"27","Enigma","16.5","New World","Dual"
"28","Eureka","17","US","Dual"
"29","Ekuanot","14.4","US","Aroma"
"30","Falconers Flight","11.2","US","Dual"
"31","First Gold","7.5","UK","Dual"
"32","Flyer","9","UK","Bittering"
"33","Fuggles","4.8","UK","Aroma"
"34","Galaxy","14.2","New World","Dual"
"35","Hallertauer Blanc","9.7","Europe","Aroma"
"36","Hallertauer Mittlefruh","4.25","Europe","Aroma"
"37","Hallertauer Hersbrucker","3","Europe","Aroma"
"38","Hull Melon","5.5","Europe","Aroma"
"39","Magnum","12","Europe","Bittering"
"40","Lemon Drop","5.5","US","Aroma"
"41","Minstrel","7.47","UK","Aroma"
"42","Mandarina Bavaria","6.3","Europe","Aroma"
"43","Mosaic","12.3","US","Dual"
"44","Motueka","7","New World","Aroma"
"45","Nelson Sauvin","12","New World","Dual"
"46","Northdown","8","UK","Dual"
"47","Northern Brewer","9","Europe","Dual"
"48","Cascade (NZ)","7","New World","Dual"
"49","Riwaka","5.5","New World","Aroma"
"50","Wai-iti","3.5","New World","Aroma"
"51","Olicana","6.9","UK","Dual"
"52","Pacifica","5.5","New World","Aroma"
"53","Perle","8.3","Europe","Dual"
"54","Phoenix","10","UK","Dual"
"55","Pioneer","8.5","UK","Dual"
"56","Rakau","10.5","New World","Dual"
"57","Saaz","3.8","Europe","Aroma"
"58","Savinjski Goldings","3.1","Europe","Aroma"
"59","Simcoe","13","US","Dual"
"60","Sorachi Ace","13","US","Bittering"
"61","Styrian Wolf","14.2","Europe","Dual"
"62","Summit","17.5","US","Bittering"
"63","Target","11","UK","Dual"
"64","Vic Secret","18.4","New World","Dual"
"65","Warrior","16","US","Bittering"
"66","Willamette","5","US","Aroma"
"67","Yellow Sub","7.9","US","Aroma"
"68","Bellma","12.1","US","Dual"
"69","Cluster","7","US","Dual"
"70","Ella","15","New World","Aroma"
"71","Fantasia","4.3","US","Dual"
"72","Nugget","13.3","US","Dual"
"73","Pacific Gem","15","New World","Bittering"
"74","Pacific Jade","13","New World","Aroma"
"75","Palisade","7.5","US","Aroma"
"76","Progress","5.5","UK","Aroma"
"77","Southern Star","13.6","SA","Bittering"
"78","Tettnanger","4.5","Europe","Aroma"
"79","Topaz","16.4","New World","Aroma"
"80","Zues","14.3","US","Bittering"
"81","Zythos","15","US","Aroma"
"82","Galena","13","US","Bittering"
"83","Crystal","4.5","US","Aroma"
"84","Liberty","4","US","Aroma"
"85","Pacific Hallertau","5","New World","Aroma"
"86","Herkules","3.5","Europe","Bittering"
"87","Hersbrucker","14.5","Europe","Aroma"
"88","Green Bullet","12.5","New World","Dual"
"89","HBC 369 (Mosaic)","12.3","US","Dual"
"90","Tomahawk","15","US","Bittering"
"91","Bravo","13","US","Bittering"
"92","Waimea","14.4","New World","Dual"
"93","Equinox","15","US","Aroma"
"94","*Agave Syrup","0","",""
"95","*Almonds","0","",""
"96","*Allspice","0","",""
"97","Mt Hood","6","US","Aroma"
"98","*Bay Leaves","0","",""
"99","*Bitter Orange Peel","0","",""
"100","*Blackberry","0","",""
"101","*Blackberry Concentrate","0","",""
"102","*Blackcurrant","0","",""
"103","*Blackcurrant Concentrate","0","",""
"104","*Blood Orange","0","",""
"105","*Blueberries","0","",""
"106","*Blueberry Concentrate","0","",""
"107","*Cocoa","0","",""
"108","*Cocoa Nibs","0","",""
"109","*Caraway","0","",""
"110","*Cascara","0","",""
"111","Dana","6.4","Europe","Aroma"
"112","EXP 366 (Ekuanot)","14.4","US","Aroma"
"113","Goldings","5","UK","Dual"
"114","Kohatu","6.5","New World","Aroma"
"115","Sterling","7.5","US","Dual"
"116","Strisselspalt","4","Europe","Aroma"
"117","Styrian Goldings","5.25","Europe","Aroma"
"118","*Chilli","0","",""
"119","*Chilli Powder","0","",""
"120","*Cinnamon","0","",""
"121","*Cloudberries","0","",""
"122","*Clove","0","",""
"123","*Coconut Chips","0","",""
"124","*Coffee","0","",""
"125","*Coffee Beans","0","",""
